Year,State,District,Rape Cases,Abduction Cases,Murder Cases,Total Crimes,Population,Crime Rate,Arrests,Crime Clearance Rate
2020,Arunachal Pradesh,Itanagar,14,89,29,268,475226,56.39,240,89.55
2021,Tripura,Udaipur,49,116,6,621,1120512,55.42,389,62.64
2022,Jammu and Kashmir,Jammu,50,69,46,556,1014208,54.82,448,80.58
2018,Goa,Vasco da Gama,18,239,15,483,859146,56.22,402,83.23
2021,Chandigarh,Chandigarh,82,171,19,621,1879009,33.05,576,92.75
2022,Lakshadweep,Agatti,42,172,54,623,1037468,60.05,506,81.22
2018,Assam,Guwahati,111,228,26,826,1354706,60.97,681,82.45
2018,Odisha,Bhubaneswar,45,134,38,531,179598,295.66,512,96.42
2018,Haryana,Faridabad,12,104,79,312,479077,65.13,293,93.91
2022,Maharashtra,Mumbai,142,118,83,765,1235640,61.91,676,88.37
2021,Lakshadweep,Agatti,135,258,39,565,1297133,43.56,295,52.21
2019,Delhi,New Delhi,137,163,32,439,1076614,40.78,378,6.1
2020,Madhya Pradesh,Indore,101,220,63,807,1083316,74.49,760,94.18
2019,Uttarakhand,Haridwar,49,52,57,611,699851,87.3,379,62.03
2019,Goa,Vasco da Gama,119,50,99,561,524591,106.94,303,54.01
2018,Ladakh,Kargil,174,299,42,1003,488701,205.24,753,75.07
2019,Maharashtra,Mumbai,46,216,19,442,1597310,27.67,253,57.24
2022,West Bengal,Darjeeling,66,298,39,704,1245315,56.53,433,1.51
2020,Meghalaya,Jowai,75,252,36,638,1831701,34.83,487,76.33
2019,Tamil Nadu,Chennai,114,181,14,408,1548029,26.36,362,88.73
2022,Assam,Dibrugarh,54,35,95,618,495358,124.76,352,56.96
2019,Andhra Pradesh,Guntur,188,207,24,672,1021434,65.79,651,96.88
2021,Tripura,Udaipur,137,254,19,779,1108841,70.25,419,53.79
2021,Karnataka,Mangaluru,118,34,50,445,1283496,34.67,322,2.36
2020,Haryana,Gurugram,96,284,88,649,1130968,57.38,328,50.54
2021,Odisha,Cuttack,71,149,21,421,743654,56.61,309,73.4
2020,Telangana,Warangal,173,242,6,792,496113,159.64,743,93.81
2019,Tamil Nadu,Chennai,136,75,82,452,1292781,34.96,334,73.89
2021,Andhra Pradesh,Guntur,83,145,32,544,813610,66.86,461,84.74
2020,Maharashtra,Mumbai,113,287,84,829,168275,492.65,812,97.95
2021,Kerala,Kozhikode,117,129,65,666,1427650,146.65,450,7.57
2019,Andhra Pradesh,Vijayawada,105,164,70,657,1117443,58.79,486,73.97
2021,Odisha,Rourkela,140,146,45,656,1106951,59.26,494,75.3
2018,Rajasthan,Udaipur,199,256,68,941,751542,125.21,514,54.62
2022,Telangana,Warangal,15,55,63,254,360406,70.48,223,87.8
2020,Uttarakhand,Nainital,38,68,76,445,1757655,25.32,321,72.13
2021,Madhya Pradesh,Indore,28,176,46,303,1948476,15.55,230,1275.91
2022,Ladakh,Kargil,50,79,61,409,1786274,22.9,406,99.27
2019,Tripura,Kailashahar,186,203,65,901,403309,223.4,723,80.24
2018,Karnataka,Mangaluru,157,253,23,810,188296,1430.17,581,71.73
2018,Jharkhand,Dhanbad,101,173,32,430,1171398,36.71,397,92.33
2021,Jammu and Kashmir,Anantnag,154,179,11,452,983948,45.94,336,74.34
2021,Kerala,Silvassa,1192,286,9,888,52051,1706.02,761,85.7
2019,Kerala,Daman,1199,67,12,641,1442169,44.45,566,88.3
2021,Manipur,Imphal,107,242,63,710,1849213,38.39,479,67.46
2019,Andaman and Nicobar Islands,Port Blair,185,297,74,1033,1666164,62,630,60.99
2021,Maharashtra,Nagpur,165,164,78,671,1325291,50.63,450,267.06
2022,Odisha,Cuttack,84,249,73,748,1215098,61.56,745,99.6
2020,Andaman and Nicobar Islands,Port Blair,86,144,39,521,928316,56.12,495,95.01
2020,Bihar,Patna,44,112,97,617,1111282,55.52,374,60.62
2019,Uttarakhand,Haridwar,67,285,73,870,703951,123.59,868,99.77
2019,Bihar,Muzaffarpur,142,131,49,788,577184,136.52,525,66.62
2020,Maharashtra,Nagpur,95,89,43,410,1049911,39.05,407,99.27
2019,Andhra Pradesh,Vijayawada,118,200,10,483,1963308,24.6,402,83.23
2019,Delhi,South Delhi,73,148,10,338,1657066,20.4,275,81.36
2018,Himachal Pradesh,Mandi,158,252,84,792,895301,88.46,553,69.82
2019,West Bengal,Siliguri,31,239,77,575,1959137,29.35,314,54.61
2019,Maharashtra,Nagpur,139,32,10,478,1433303,33.35,392,82.01
2021,Gujarat,Vadodara,188,69,53,760,1047457,72.56,520,68.42
2021,Manipur,Churachandpur,68,128,47,370,1368510,27.04,292,78.92
2022,Rajasthan,Jaipur,77,191,41,603,184710,326.46,529,87.73
2019,Delhi,Central Delhi,108,224,79,479,1335823,35.86,340,70.98
2022,kerala,Kozhikode,40,41,98,389,1401218,27.76,310,79.69
2019,Lakshadweep,Kavaratti,92,199,88,822,209919,391.58,753,91.61
2020,Haryana,Faridabad,183,101,63,437,859067,50.87,367,83.98
2019,Uttarakhand,Dehradun,82,63,75,667,448795,148.62,463,69.42
2022,Manipur,Thoubal,107,87,33,277,554271,49.98,195,70.4
2018,Uttar Pradesh,Lucknow,135,200,93,911,1666195,54.68,673,73.87
2021,Madhya Pradesh,Gwalior,54,181,29,447,1256282,35.58,234,52.35
2021,Lakshadweep,Kavaratti,147,242,47,670,335053,199.97,600,89.55
2022,Maharashtra,Nagpur,170,45,38,674,1179204,57.16,508,75.37
2020,Himachal Pradesh,Mandi,182,120,44,426,1806450,23.58,341,80.05
2019,Sikkim,Gangtok,159,277,10,504,1007951,50,343,68.06
2021,Andhra Pradesh,Vijayawada,148,193,6,397,1458971,27.21,299,75.31
2018,Lakshadweep,Minicoy,111,291,72,868,888268,97.72,491,56.57
2019,Himachal Pradesh,Shimla,106,236,37,511,1766025,28.94,416,81.41
2019,Chandigarh,Chandigarh,13,215,66,730,1788875,40.81,593,81.23
2022,Rajasthan,Udaipur,113,160,31,374,1535469,24.36,213,56.95
2020,Jharkhand,Jamshedpur,10,150,60,347,1446576,23.99,331,95.39
2019,Haryana,Faridabad,122,52,7,290,206973,140.11,202,69.66
2020,Tamil Nadu,Madurai,195,57,46,554,813046,68.14,441,79.6
2020,Uttarakhand,Nainital,42,219,72,533,205868,258.9,505,94.75
2018,Uttar Pradesh,Kanpur,65,204,97,765,1482374,51.61,742,96.99
2020,Madhya Pradesh,Bhopal,10,37,64,525,960940,54.63,448,85.33
2020,Andaman and Nicobar Islands,Diglipur,56,183,56,577,968830,59.56,391,67.76
2022,Punjab,Jalandhar,125,68,53,607,1117512,54.32,497,81.88
2020,Rajasthan,Jodhpur,62,43,68,325,1174003,27.68,218,67.08
2021,Karnataka,Bengaluru,36,53,99,597,334451,178.5,585,97.99
2022,Ladakh,Kargil,109,71,30,609,847084,71.89,452,74.22
2019,Uttar Pradesh,Kanpur,170,200,43,877,1881462,46.61,687,78.34
2018,Nagaland,Mokokchung,59,27,59,395,812151,48.64,294,74.43
2021,Chhattisgarh,Durg,34,187,21,314,469119,66.93,176,56.05
2018,Gujarat,Ahmedabad,46,273,84,613,234753,261.13,520,84.83
2019,Puducherry,Puducherry,137,272,94,827,741278,111.56,427,51.63
2021,Assam,Guwahati,160,73,65,707,1215070,58.19,392,55.45
2020,Uttar Pradesh,Lucknow,181,68,36,587,809872,72.48,552,94.04
2020,Ladakh,Leh,118,272,5,579,388385,149.08,446,77.03
2018,Gujarat,Ahmedabad,146,297,26,860,868776,98.99,651,75.7
2021,Mizoram,Aizawl,56,25,52,578,231829,249.32,372,64.36
2019,Mizoram,Lunglei,41,286,38,487,1631996,29.84,344,70.64
2019,Meghalaya,Shillong,152,36,83,399,1811780,22.02,392,98.25
2020,Delhi,New Delhi,46,141,79,546,392025,139.28,361,66.12
2019,Karnataka,Bengaluru,123,236,23,618,152923,404.12,403,65.21
2020,Tamil Nadu,Coimbatore,179,293,51,662,65789,1006.25,414,62.54
2018,Bihar,Gaya,161,119,53,422,152277,277.13,403,95.5
2018,Odisha,Bhubaneswar,197,64,52,469,250551,187.19,352,75.05
2019,Lakshadweep,Minicoy,76,77,18,535,827646,64.64,351,65.61
2022,Tripura,Kailashahar,49,145,92,390,241587,161.43,204,52.31
2020,Karnataka,Bengaluru,131,279,93,809,1658861,48.77,713,88.13
2019,Uttarakhand,Haridwar,88,297,64,532,1453075,36.61,295,55.45
2021,Manipur,Imphal,117,149,84,484,610854,79.23,453,93.6
2018,Mizoram,Aizawl,11,70,89,559,535069,104.47,370,66.19
2021,Jammu and Kashmir,Anantnag,175,256,57,649,1908292,34.01,379,58.4
2020,Sikkim,Namchi,116,156,99,723,705219,102.52,373,51.59
2019,Goa,Panaji,124,238,8,434,1324233,32.77,238,54.84
2018,Puducherry,Puducherry,50,255,44,603,1266094,47.63,342,56.72
2019,Telangana,Hyderabad,135,193,41,635,1959102,32.41,526,82.83
2020,Karnataka,Mangaluru,127,113,50,603,267341,225.55,332,55.06
2020,Punjab,Ludhiana,43,71,20,601,1818426,33.05,309,51.41
2018,Andaman and Nicobar Islands,Car Nicobar,174,206,69,887,571668,155.16,474,53.44
2022,Assam,Guwahati,94,237,80,714,642929,111.05,489,68.49
2018,Haryana,Panipat,35,268,86,627,1975526,31.74,372,59.33
2018,Goa,Panaji,42,58,52,505,862973,58.52,477,94.46
2018,Tamil Nadu,Coimbatore,51,272,65,853,1419106,60.11,718,84.17
2021,Jharkhand,Jamshedpur,49,289,71,841,1734458,48.49,527,62.66
2018,Haryana,Gurugram,100,144,69,407,1493637,27.25,352,86.49
2020,Meghalaya,Jowai,124,103,71,462,476182,97.02,297,64.29
2020,Andaman and Nicobar Islands,Car Nicobar,144,30,87,654,1121211,58.33,589,90.06
2019,Ladakh,Kargil,99,170,8,619,1609426,38.46,316,51.05
2022,Odisha,Cuttack,167,115,46,615,1859748,33.07,341,55.45
2018,Chhattisgarh,Raipur,176,244,30,719,1479762,48.59,488,67.87
2018,Rajasthan,Jaipur,26,48,82,488,658907,74.06,293,60.04
2022,Uttar Pradesh,Agra,28,38,19,235,747060,31.46,222,94.47
2019,Maharashtra,Mumbai,117,127,25,367,771078,47.6,356,97
2020,Delhi,Central Delhi,111,236,55,815,776355,104.98,781,95.83
2021,Kerala,Kozhikode,35,142,25,412,211073,195.19,209,50.73
2018,Madhya Pradesh,Gwalior,118,89,73,532,1635369,32.53,271,50.94
2019,Haryana,Gurugram,58,206,37,618,1887015,32.75,560,90.61
2019,Assam,Silchar,129,47,86,469,1967948,23.83,383,81.66
2021,Delhi,South Delhi,145,32,93,567,1513002,37.48,501,88.36
2020,Arunachal Pradesh,Tawang,17,87,74,520,1180383,44.05,492,94.62
2022,Telangana,Hyderabad,20,278,29,501,427102,117.3,394,78.64
2019,Sikkim,Gangtok,166,274,69,723,859106,84.16,482,66.67
2021,Goa,Margao,94,282,12,507,1113451,45.53,400,78.9
2021,Chandigarh,Chandigarh,49,167,54,668,520583,128.32,344,51.5
2020,Tripura,Udaipur,37,219,14,456,103723,439.63,294,64.47
2022,Uttar Pradesh,Kanpur,86,208,93,698,335106,208.29,579,82.95
2018,Jammu and Kashmir,Jammu,151,197,64,861,1442394,59.69,784,91.06
2018,Uttarakhand,Dehradun,164,246,21,872,356028,244.92,660,75.69
2021,Mizoram,Lunglei,199,297,76,1005,637429,157.66,686,68.26
2018,Madhya Pradesh,Indore,75,69,51,584,71318,818.87,494,84.59
2021,Haryana,Panipat,65,191,18,528,1055342,50.03,463,87.69
2021,Kerala,Kozhikode,131,51,84,351,445955,78.71,184,52.42
2022,Rajasthan,Udaipur,61,196,15,641,639757,100.19,628,97.97
2020,Himachal Pradesh,Kangra,18,286,93,709,1811960,39.13,469,66.15
2018,Uttarakhand,Dehradun,13,224,24,603,187931,320.86,512,84.91
2021,Maharashtra,Nagpur,114,135,38,476,1907501,24.95,418,87.82
2020,Himachal Pradesh,Kangra,148,33,76,307,130814,234.68,212,69.06
2018,Sikkim,Gangtok,28,170,11,441,123025,358.46,372,84.35
2021,Tamil Nadu,Chennai,18,23,32,520,1289048,40.34,324,62.31
2022,Puducherry,Puducherry,100,105,88,678,101893,665.4,435,64.16
2022,Tripura,Kailashahar,116,45,65,414,69339,597.07,334,80.68
2022,Delhi,New Delhi,190,119,35,670,1963718,34.12,602,89.85
2019,Lakshadweep,Kavaratti,75,283,98,522,1264785,41.27,455,87.16
2020,Lakshadweep,Minicoy,118,123,85,516,347151,148.64,370,71.71
2022,Haryana,Panipat,48,37,16,309,1238911,24.94,154,49.84
2019,Nagaland,Mokokchung,49,100,18,613,1298254,47.22,405,66.07
2021,Haryana,Faridabad,136,102,54,391,1531694,25.53,344,87.98
2021,Uttar Pradesh,Kanpur,116,156,15,356,1173714,30.33,339,95.22
2018,West Bengal,Kolkata,24,163,13,271,657988,41.19,249,81.88
2019,Odisha,Bhubaneswar,167,163,47,675,726372,92.93,538,79.7
2022,Telangana,Warangal,182,243,85,605,468773,129.06,360,59.5
2022,Goa,Panaji,157,22,72,748,302048,247.64,392,52.41
2018,Andaman and Nicobar Islands,Port Blair,147,228,42,659,1206357,54.63,513,77.85
2019,Bihar,Patna,12,158,33,660,1700111,38.82,378,57.27
2022,West Bengal,Siliguri,111,79,88,638,302342,211.02,618,6.87
2020,Arunachal Pradesh,Pasighat,12,202,74,764,1001344,76.3,584,76.44
2020,Jammu and Kashmir,Anantnag,189,140,91,806,1859081,43.35,663,82.26
2021,Tripura,Agartala,196,123,87,825,255004,323.52,607,73.58
2019,Sikkim,Gangtok,50,82,35,626,527590,118.65,412,65.81
2022,Assam,Dibrugarh,116,44,88,481,1283146,37.49,413,85.86
2018,Jharkhand,Jamshedpur,71,186,5,474,1559627,30.39,249,52.53
2019,Uttar Pradesh,Kanpur,180,269,42,599,293673,203.97,420,70.12
2019,Andaman and Nicobar Islands,Car Nicobar,60,221,46,573,1110512,51.6,390,68.06
2020,Meghalaya,Jowai,18,37,10,246,141403,173.97,193,78.46
2020,Assam,Silchar,175,57,50,455,1070464,42.5,339,74.51
2022,Puducherry,Puducherry,74,96,44,367,1492962,24.58,281,76.57
2019,Karnataka,Mysuru,96,209,9,715,1594700,44.84,389,54.41
2018,Jammu and Kashmir,Srinagar,164,50,85,477,1782053,26.77,332,69.6
2018,West Bengal,Kolkata,139,33,64,591,724240,81.6,392,6.33
2018,Kerala,Kozhikode,156,26,36,475,1308626,36.3,257,4.11
2022,Uttarakhand,Haridwar,170,168,84,697,448575,155.38,368,52.8
2019,Rajasthan,Jaipur,96,158,42,581,1777955,32.68,405,69.71
2022,Rajasthan,Jodhpur,67,253,66,452,1309017,34.53,321,71.02
2021,Andaman and Nicobar Islands,Diglipur,29,298,13,660,1201569,54.93,554,83.94
2021,Haryana,Panipat,63,237,61,792,1806346,43.85,576,72.73
2022,Nagaland,Kohima,19,44,80,253,1201356,21.06,167,66.01
2020,Delhi,Central Delhi,66,276,11,641,764990,83.79,617,96.26
2020,Ladakh,Leh,59,162,99,534,98102,544.33,469,87.83
2020,Kerala,Kozhikode,139,213,26,729,235686,309.31,426,8.44
2022,Goa,Vasco da Gama,148,207,62,505,684893,73.73,417,82.57
2020,Uttar Pradesh,Lucknow,101,210,95,736,102365,719,467,63.45
2021,Manipur,Thoubal,40,196,77,489,354400,137.98,257,12.56
2019,Chhattisgarh,Raipur,36,171,93,357,1864667,19.15,179,50.14
2022,Madhya Pradesh,Bhopal,55,226,42,697,1207415,57.73,615,88.24
2018,Sikkim,Namchi,188,236,27,749,1824240,41.06,582,77.7
2020,Jharkhand,Jamshedpur,75,29,49,218,522134,41.75,177,81.19
2019,Gujarat,Ahmedabad,188,68,37,711,1407881,50.5,680,95.64
2019,Haryana,Faridabad,190,171,23,645,1582613,40.76,631,97.83
2020,Jammu and Kashmir,Anantnag,48,59,89,414,747902,55.35,341,82.37
2022,Chhattisgarh,Bilaspur,167,86,19,520,533452,97.48,300,57.69
2019,Chhattisgarh,Raipur,159,125,64,728,1242413,58.6,658,90.38
2018,Maharashtra,Mumbai,130,155,28,576,1671081,34.47,517,89.76
2021,Manipur,Churachandpur,116,232,22,728,1471689,49.47,696,15.6
2020,Madhya Pradesh,Bhopal,11,24,47,228,107955,211.2,189,82.89
2020,Manipur,Imphal,39,110,33,660,1234367,53.47,398,60.3
2019,Rajasthan,Udaipur,109,296,27,831,1322482,62.84,422,50.78
2018,Telangana,Nizamabad,68,173,34,377,1119201,33.68,347,92.04
2021,Madhya Pradesh,Gwalior,158,50,92,565,976804,57.84,546,96.64
2020,Andhra Pradesh,Guntur,65,35,18,404,716325,56.4,284,70.3
2018,Sikkim,Gangtok,86,139,30,577,789239,73.11,321,55.63
2021,Andhra Pradesh,Guntur,124,61,74,502,1478962,33.94,300,59.76
2019,Haryana,Gurugram,195,212,51,583,657077,88.73,398,68.27
2021,Haryana,Panipat,14,185,22,599,1923650,31.14,357,59.6
2021,Kerala,Kozhikode,198,299,62,987,148870,662.99,752,76.19
2018,Jharkhand,Ranchi,150,203,76,874,1071286,81.58,439,50.23
2021,Kerala,Kochi,164,181,32,689,1272588,54.14,686,59.56
2018,Bihar,Gaya,145,211,80,607,657412,92.33,362,59.64
2019,Arunachal Pradesh,Pasighat,146,185,27,704,152168,462.65,532,75.57
2020,West Bengal,Siliguri,82,125,44,559,1467383,38.1,533,95.35
2022,Arunachal Pradesh,Pasighat,146,276,18,753,58254,1292.62,561,74.5
2018,Andaman and Nicobar Islands,Diglipur,124,150,80,520,1920003,27.08,271,52.12
2019,Mizoram,Lunglei,187,168,17,818,1698637,48.16,416,50.86
2022,Kerala,Kochi,155,250,55,704,1813392,38.82,516,73.3
2021,Rajasthan,Jaipur,55,177,42,385,443075,86.89,264,68.57
2021,Tamil Nadu,Madurai,118,294,80,692,1503934,46.01,420,60.69
2019,Kerala,Thiruvananthapuram,98,284,73,590,748591,78.81,345,58.47
2020,Odisha,Rourkela,195,222,88,563,1280662,43.96,538,95.56
2019,Andhra Pradesh,Guntur,134,116,45,453,1397111,32.42,309,68.21
2022,Madhya Pradesh,Gwalior,17,207,24,539,1625013,33.17,319,59.18
2022,Haryana,Gurugram,101,135,61,436,1377727,31.65,243,55.73
2022,Chhattisgarh,Raipur,62,96,73,290,1949979,14.87,256,88.28
2018,Haryana,Panipat,12,34,43,441,1391733,31.69,340,77.1
2018,Karnataka,Mysuru,110,58,11,283,1176691,24.05,271,95.76
2021,Nagaland,Mokokchung,63,98,18,239,698221,34.23,239,100
2019,Tamil Nadu,Madurai,57,230,28,785,1632746,48.08,574,73.12
2020,Lakshadweep,Kavaratti,64,67,64,341,314329,108.49,307,90.03
2019,Rajasthan,Udaipur,34,74,79,564,334278,168.72,359,63.65
2022,Ladakh,Leh,188,153,19,537,1356210,39.6,373,69.46
2020,Odisha,Bhubaneswar,97,70,99,456,1565442,29.13,317,69.52
2022,Madhya Pradesh,Gwalior,76,259,44,445,585031,76.06,400,89.89
2022,West Bengal,Kolkata,18,51,65,316,466653,67.72,169,53.48
2019,Meghalaya,Jowai,186,176,31,532,368380,144.42,443,83.27
2020,Himachal Pradesh,Kangra,24,82,78,386,234913,164.32,297,76.94
2018,Andhra Pradesh,Visakhapatnam,76,160,96,556,1987777,27.97,328,58.99
2020,Mizoram,Champhai,93,25,77,348,1871920,18.59,347,99.71
2022,Chhattisgarh,Bilaspur,194,240,75,747,1239127,60.28,704,94.24
2019,Mizoram,Aizawl,97,292,85,941,1186414,79.31,861,91.5
2021,Telangana,Nizamabad,158,198,61,816,130088,627.27,589,72.18
2021,Puducherry,Karaikal,195,91,88,445,1496423,29.74,283,63.6
2020,Puducherry,Karaikal,169,247,14,880,933924,94.23,532,60.45
2019,Manipur,Imphal,48,205,65,495,69486,712.37,421,85.05
2018,Jammu and Kashmir,Srinagar,17,218,63,680,1857217,36.61,656,96.47
2020,Arunachal Pradesh,Itanagar,45,22,84,534,1252068,42.65,448,83.9
2021,Arunachal Pradesh,Itanagar,92,213,98,844,834966,101.08,749,88.74
2022,Jharkhand,Dhanbad,161,26,65,323,1348377,23.95,313,96.9
2022,Mizoram,Champhai,79,196,87,500,1583696,31.57,447,89.4
2022,Karnataka,Mangaluru,177,276,38,605,1601794,37.77,552,91.24
2018,Tripura,Udaipur,71,169,11,656,1467403,44.7,343,52.29
2021,Bihar,Gaya,11,188,34,400,336445,118.89,250,62.5
2021,Delhi,South Delhi,131,89,31,565,97745,578.03,343,60.71
2018,Uttar Pradesh,Lucknow,179,186,71,656,590195,111.15,575,87.65
2021,Uttarakhand,Nainital,81,191,96,665,1543808,43.08,651,97.89
2021,Jharkhand,Dhanbad,118,259,13,654,1181723,55.34,566,86.54
2022,Telangana,Hyderabad,169,143,60,520,293472,177.19,396,76.15
2021,Kerala,Daman,37,272,82,519,744181,69.74,303,58.38
2022,Punjab,Jalandhar,177,157,17,518,1006428,51.47,334,64.48
2019,Rajasthan,Jaipur,113,209,80,684,762254,89.73,411,60.09
2018,Puducherry,Karaikal,126,212,54,837,1868451,44.8,808,96.54
2022,Delhi,South Delhi,89,56,43,251,345409,72.67,147,58.57
2018,Maharashtra,Nagpur,150,48,33,705,159759,441.29,697,98.87
2022,Delhi,New Delhi,24,80,36,307,97386,315.24,192,62.54
2021,Uttar Pradesh,Agra,182,223,61,864,1418213,60.92,636,73.61
2018,Assam,Silchar,91,249,7,614,1626048,37.76,432,70.36
2022,Rajasthan,Jodhpur,67,168,73,497,1730012,28.73,427,85.92
2019,Assam,Silchar,108,124,59,527,1098912,47.96,486,92.22
2019,Ladakh,Leh,70,220,35,420,657627,63.87,392,93.33
2022,Himachal Pradesh,Kangra,75,282,33,748,705495,106.02,425,56.82
2019,Jammu and Kashmir,Srinagar,25,193,29,579,834575,69.38,308,53.2
2020,Sikkim,Namchi,156,70,65,753,183927,409.4,658,87.38
2019,Puducherry,Mahe,192,112,49,529,618440,85.54,402,75.99
2022,West Bengal,Kolkata,197,63,82,817,980676,83.31,574,70.26
2018,Puducherry,Puducherry,45,72,68,661,1370288,48.24,430,65.05
2019,Chhattisgarh,Durg,16,278,20,558,55608,1003.45,490,87.81
2020,Ladakh,Kargil,78,186,65,379,1375951,27.54,379,100
2019,Bihar,Gaya,104,168,92,688,777654,88.47,612,88.95
2021,Kolkata,Silvassa,139,130,49,462,334098,138.28,403,17.23
2022,Jharkhand,Ranchi,53,276,90,733,1594585,45.97,503,68.62
2021,Lakshadweep,Agatti,98,174,35,503,296485,169.65,495,98.41
2021,Mizoram,Aizawl,164,108,11,361,361149,99.96,355,98.34
2018,Manipur,Thoubal,49,277,92,810,336221,240.91,510,62.96
2021,Bihar,Gaya,52,137,40,298,104612,284.86,199,66.78
2022,Tamil Nadu,Chennai,18,287,79,557,355685,156.6,382,68.58
2021,Andhra Pradesh,Visakhapatnam,31,84,42,337,1109535,30.37,231,68.55
2018,Bihar,Muzaffarpur,100,171,31,711,1472611,48.28,480,67.51
2018,Uttarakhand,Nainital,30,256,18,629,1160449,54.2,334,53.1
2018,Puducherry,Karaikal,151,211,44,541,199757,270.83,297,54.9
2022,Punjab,Ludhiana,35,277,51,825,315151,261.78,459,55.64
2021,Jharkhand,Jamshedpur,51,196,14,340,1802583,18.86,313,92.06
2019,Punjab,Ludhiana,80,258,85,567,210379,269.51,509,89.77
2020,Jharkhand,Ranchi,139,49,78,446,733125,60.84,272,60.99
2020,West Bengal,Siliguri,139,296,70,703,1604788,43.81,515,73.26
2019,Lakshadweep,Kavaratti,174,35,11,599,604570,99.08,375,62.6
2018,Gujarat,Surat,16,170,75,702,1575543,44.56,483,68.8
2020,Goa,Vasco da Gama,68,117,66,497,1472409,33.75,325,65.39
2020,Odisha,Rourkela,198,116,15,615,1942038,31.67,358,58.21
2020,Gujarat,Vadodara,116,83,28,294,418450,70.26,205,69.73
2022,Uttarakhand,Haridwar,55,52,91,515,1737566,29.64,392,76.12
2018,Manipur,Imphal,67,97,72,548,625421,87.62,451,82.3
2019,Gujarat,Surat,191,238,40,539,536868,100.4,273,50.65
2022,Kerala,Kozhikode,182,92,41,801,1827551,43.83,544,67.92
2021,Haryana,Gurugram,50,174,60,341,1053239,32.38,233,68.33
2018,Madhya Pradesh,Bhopal,55,296,52,730,97737,746.9,395,54.11
2021,Lakshadweep,Agatti,189,283,50,938,697214,134.54,885,94.35
2019,Telangana,Nizamabad,163,281,16,892,765888,116.47,619,69.39
2018,Uttarakhand,Haridwar,131,137,59,501,1357920,36.89,473,94.41
2018,Tripura,Udaipur,85,63,68,272,791848,34.35,173,63.6
2021,Tripura,Kailashahar,118,117,18,544,225834,240.88,523,96.14
2018,Haryana,Panipat,53,67,74,450,1014432,44.36,301,66.89
2020,Arunachal Pradesh,Pasighat,90,72,90,596,107074,556.62,529,88.76
